artist_id,artist_name,popularity
318940,jerry seinfeld,0.47
3112756,aj tracey,0.29
276983,tempo,0.49
809723,philippa knight,0.47
210999,quilapayún,0.42
25313,freddie jackson,0.54
21446,karen elson,0.46
2714041,pitbull feat sensato osmani garcía,0.38
1069293,omi,0.68
90768,avishai cohen,0.5
3538694,sub focus featuring coco,0.3
717748,dazed and confused,0.38
31374,mantovani orchestra,0.48
160234,upendra bhat,0.46
300253,enrico donner,0.49
177552,rhys,0.42
4273,collective soul,0.59
25754,the mouseketeers,0.49
25654,krystof,0.48
32384,sheb wooley,0.49
127484,martina topley bird,0.48
4397,bob rivers,0.49
10551,stan kenton,0.52
39365,james carr,0.48
14239,deana carter,0.51
1484836,alan b jan,0.32
295236,red stick ramblers,0.46
18103,labi siffre,0.5
261440,the bootleggers,0.46
1907291,1 girl nation,0.51
1444666,j capri charly black,0.48
1237561,dave sheriff,0.47
3361676,eminem featuring p nk,0.49
2691737,jme featuring skepta frisco and shorty,0.46
2216030,eleo,0.3
59547,wynonna,0.46
4154,nico,0.55
1237656,lazerhawk,0.49
235660,damita jo,0.46
1094449,nu-look,0.47
10909,alien ant farm,0.56
133,ella fitzgerald,0.68
3406907,kaskade john dahlbäck feat sansa,0.29
1512240,jay santos,0.48
2308631,northern string quartet,0.53
13232,goldie,0.51
18961,donald lawrence,0.51
341073,amadeus quartet,0.46
9841,bunny wailer,0.5
317640,the hit nation,0.56
223992,josé james,0.52
61756,don moen,0.57
1380340,highly suspect,0.62
2234713,jarekus singleton,0.48
48373,elvis perkins,0.44
2104678,operators,0.48
103913,b witched,0.52
1529573,g dep p diddy and the bad boy family,0.36
178163,bulgarian national choir,0.46
49626,the dixie cups,0.5
11416,meat beat manifesto,0.48
3380782,gloria trevi chiquis rivera,0.3
37544,chris botti,0.55
187011,polaris,0.49
424761,lars lillo-stenberg,0.51
1909657,thunderstruck,0.5
452664,stewart goodyear,0.47
2524130,daniel skye,0.53
45939,minor majority,0.5
3377962,train alessio pesenti,0.32
126439,deadmau5,0.66
2443069,dimitri vegas like mike vs tujamo felguk,0.49
13337,lange,0.5
456990,hindi zahra,0.51
824484,leonardo gonçalves,0.46
396059,rebelution,0.54
56984,samael,0.46
147106,sunil ganguly,0.46
3048595,dj kamal mustafa,0.32
26347,keiko matsui,0.52
6226,morbid angel,0.51
183323,gotye,0.68
921929,manu gavassi,0.49
236495,counterfeit,0.49
2936317,car seat headrest,0.5
3355606,aurora jasmine jason,0.29
1351015,in hearts wake,0.54
2222668,golden features,0.54
314182,n sync,0.47
1349184,cid,0.48
2768025,booty call,0.47
31397,clint eastwood,0.49
1250201,dj_e s s,0.34
27878,the macc lads,0.5
4115,jimmie dale gilmore,0.46
2609515,dj yoda presents breakfast of champions,0.48
3557821,empire cast feat serayah and yazz,0.3
17979,jenifer,0.51
3471354,shankar ehsaan loy jatin-lalit aadesh srivastava sandesh shandilya vishal shekhar alka yagnik sonu nigam shankar mahadevan,0.3
16433,najee,0.53
410566,in mourning,0.48
3394309,maná nicky jam,0.3
1385316,sexy back,0.49
116594,the london philharmonic orchestra,0.49
1285435,clean bandit,0.73
162505,ea games soundtrack,0.5
54574,unearth,0.5
41747,rank 1,0.49
20037,louie ramirez,0.46
43709,the fireballs,0.46
6318,hélène grimaud,0.49
62813,annihilator,0.54
1940762,greta svabo bech,0.46
13080,altan,0.49
31807,the citizens of halloween,0.48
141228,shawty lo,0.51
82269,elvis costello the attractions,0.57
1382489,sleep music lullabies,0.52
