track_id,artist_id,title,popularity,album_id
58186766,261613,eagles,0.45,5812933
58186767,261613,over due it feat derek minor,0.47,5812933
58186768,261613,ez,0.44,5812933
58186770,261613,my little baby feat tj pompeo,0.39,5812933
58186787,261613,i ain't got time feat pearl,0.39,5812933
58186788,261613,the family,0.45,5812933
58404311,261613,over do it instrumental feat derek minor,0.36,5840663
36442827,263631,cedar lane,0.37,3462940
41771964,263631,stay gold stockholm session,0.38,4029522
41771950,263631,america,0.39,4029522
41771956,263631,my silver lining stockholm session,0.4,4029522
41771969,263631,brother,0.38,4029522
35805473,263631,my silver lining,0.42,3397381
37168600,263631,my silver lining,0.44,3534839
37168604,263631,master pretender,0.42,3534839
37168607,263631,stay gold,0.42,3534839
37168609,263631,cedar lane,0.41,3534839
37168631,263631,a long time ago,0.41,3534839
37168623,263631,fleeting one,0.41,3534839
37168621,263631,waitress song,0.42,3534839
37168627,263631,heaven knows,0.41,3534839
37168614,263631,shattered hollow,0.42,3534839
37168617,263631,the bell,0.41,3534839
3836421,266357,i'd rather go blind album version,0.42,342595
3836407,266357,at last album version,0.4,342595
3836413,266357,once in a lifetime album version,0.38,342595
3849109,266357,once in a lifetime album version,0.4,343589
3849106,266357,at last album version,0.44,343589
3849115,266357,i'd rather go blind album version,0.46,343589
3849124,266357,all i could do was cry album version,0.44,343589
3849125,266357,my babe album version,0.36,343589
3849120,266357,trust in me album version,0.39,343589
15829729,266505,kissed you good night,0.36,1434289
19815732,266505,can't shake you,0.37,1828822
19815729,266505,kissed you good night,0.36,1828822
57951785,267543,ways i can't tell,0.36,5781205
44489815,267706,how country feels,0.36,4335124
52373610,267706,song number 7,0.37,5141501
52373607,267706,lucky me,0.36,5141501
52373605,267706,mine tonight,0.36,5141501
52373601,267706,senior year,0.36,5141501
52373618,267706,fired up,0.37,5141501
52373617,267706,yesterday 's whiskey,0.36,5141501
52373615,267706,true,0.37,5141501
52373613,267706,before midnight,0.36,5141501
52373600,267706,chasing down a good time,0.37,5141501
52373598,267706,we went,0.38,5141501
52373597,267706,back,0.36,5141501
52373624,267706,hot beer and cold women,0.36,5141501
52373626,267706,same ole saturday night,0.36,5141501
52373620,267706,little bit older,0.36,5141501
52373622,267706,gotta get you home,0.36,5141501
52373628,267706,one way bonus track,0.36,5141501
52373629,267706,whiskeysippi river bonus track,0.36,5141501
45290942,267706,we went,0.39,4430802
13593752,269397,even if it breaks your heart,0.38,1228886
13593750,269397,crazy girl,0.37,1228886
56470028,269431,diamond hard,0.37,5616378
31368670,270253,eminem freestyle,0.41,2943172
29900817,270559,danza kuduro,0.37,2791137
29675634,270559,mad world,0.37,2766628
21748576,270559,diamonds are forever,0.36,2010816
22362443,271011,pigskin,0.36,2070807
21520427,271011,we are,0.38,1987904
4652609,271011,christmas in hollywood,0.36,415177
22362407,271011,lion,0.37,2070803
22362409,271011,we are,0.36,2070803
22362402,271011,from the ground,0.36,2070803
22362405,271011,another way out,0.36,2070803
22362400,271011,dead bite,0.36,2070803
22362418,271011,outside,0.36,2070803
22362413,271011,rain,0.36,2070803
22362411,271011,pigskin,0.36,2070803
22362417,271011,up in smoke,0.36,2070803
22362416,271011,believe,0.36,2070803
22362415,271011,kill everyone,0.36,2070803
13271196,271011,my town,0.36,1198684
13271194,271011,comin in hot,0.39,1198684
13271193,271011,apologize,0.37,1198684
13271192,271011,been to hell,0.37,1198684
13271212,271011,levitate,0.38,1198684
13271211,271011,bullet,0.37,1198684
13271209,271011,coming back down,0.37,1198684
13271206,271011,lights out,0.36,1198684
13271204,271011,glory,0.36,1198684
13271202,271011,gangsta sexy,0.36,1198684
13271200,271011,hear me now,0.37,1198684
13271198,271011,i don t wanna die,0.37,1198684
13271214,271011,pour me,0.36,1198684
13271216,271011,tendencies,0.36,1198684
22362453,271011,medicine,0.36,2070807
22362454,271011,one more bottle,0.36,2070807
22362442,271011,we are,0.36,2070807
22362440,271011,another way out,0.36,2070807
22362441,271011,lion,0.36,2070807
22362438,271011,dead bite,0.36,2070807
22362439,271011,from the ground,0.36,2070807
44293627,271011,party by myself,0.36,4314282
44293610,271011,day of the dead,0.36,4314282
44293604,271011,usual suspects,0.36,4314282
4644343,271011,undead,0.37,414962
4644384,271011,city,0.36,414962
4644368,271011,young,0.36,414962
4644371,271011,black dahlia,0.36,414962
4644379,271011,bottle and a gun,0.36,414962
4644348,271011,sell your soul,0.36,414962
4644353,271011,everywhere i go,0.36,414962
4644362,271011,no 5,0.36,414962
20746192,271011,city,0.36,1927552
20746188,271011,black dahlia,0.36,1927552
20746182,271011,undead,0.37,1927552
20746183,271011,sell your soul,0.36,1927552
20746184,271011,everywhere i go,0.38,1927552
16391069,271011,levitate,0.37,1485792
6606498,271469,bulletproof,0.39,595381
10689399,271469,in for the kill,0.36,972677
6018704,271469,bulletproof,0.37,543936
44553616,272425,lifted up 1985 album version,0.38,4341864
44553618,272425,whole life story album version,0.38,4341864
44553619,272425,where the sky hangs album version,0.38,4341864
44553628,272425,until we can't let 's go album version,0.36,4341864
44553626,272425,dancing on the grave album version,0.36,4341864
